Year (Date),COUNTRY,EPI Indicator Score
1999,India,38.9698046725111
1999,China,34.4906337323069
1999,Denmark,100
1999,Malta,64.1472961406258
1999,United States of America,59.6451524468835
2000,India,43.295442086093
2000,China,38.8430082163509
2000,United States of America,62.6857918599196
2000,Denmark,99.6903252735703
2000,Malta,77.6666706630411
2001,Denmark,96.3591869163972
2001,United States of America,69.2812588650517
2001,India,47.0879043947796
2001,Malta,95.2313234390414
2001,China,44.1324176405767
2002,United States of America,74.8712764342505
2002,Denmark,100
2002,Malta,100
2002,India,53.7965909634357
2002,China,48.2969689773989
2003,Denmark,100
2003,Malta,100
2003,United States of America,81.4348741807003
2003,China,56.5517532477644
2003,India,58.3097830358108
2004,United States of America,85.1560692709934
2004,China,61.7684451480043
2004,Malta,100
2004,India,59.6801824207382
2004,Denmark,100
2005,China,56.1625852060455
2005,Denmark,100
2005,Malta,83.7585401149783
2005,India,58.5315561547576
2005,United States of America,89.9844511675159
2006,Malta,76.0499454253687
2006,Denmark,100
2006,China,46.9088288179701
2006,India,54.7861207690755
2006,United States of America,89.4635965118826
2007,India,48.3487958130926
2007,China,44.8065292439037
2007,Malta,70.0887118877869
2007,Denmark,100
2007,United States of America,83.3637144741411
2008,China,43.0278271775889
2008,Denmark,100
2008,India,41.651454298959
2008,United States of America,82.2743105596256
2008,Malta,65.4623003843566
2009,India,35.0120028628273
2009,China,45.5293922984299
2009,Malta,71.7882263810678
2009,Denmark,100
2009,United States of America,85.0106988775021
2010,China,50.9047682809469
2010,Denmark,100
2010,Malta,82.4037412525929
2010,India,31.054969505892
2010,United States of America,82.5773631273013
2011,China,57.706744117894
2011,Denmark,100
2011,India,27.1282273722858
2011,United States of America,82.7688115573493
2011,Malta,95.4393907538069
2012,China,62.1883055816497
2012,Denmark,100
2012,Malta,93.1094642817023
2012,India,30.7881703452284
2012,United States of America,85.3337153842497
2013,Malta,77.6367038110511
2013,China,66.5405240028395
2013,United States of America,82.4304773624277
2013,India,36.5872066601785
2013,Denmark,84.5213819059745
2014,China,69.2141685114806
2014,Malta,66.7367593536393
2014,Denmark,75.1706814673655
2014,India,42.7658874886197
2014,United States of America,78.8721767136525
2015,China,69.8216020977601
2015,Malta,56.7877274404304
2015,Denmark,66.8694268297218
2015,India,48.2348295855534
2015,United States of America,77.2365048116269
2016,Denmark,64.5114508020705
2016,Malta,61.489912092403
2016,India,53.8282037454159
2016,United States of America,74.4524639937763
2016,China,69.0453635345465
2017,Malta,84.9277754733289
2017,United States of America,71.0166323851881
2017,Denmark,62.7082356959737
2017,India,56.9704838693377
2017,China,68.5566324337042
2018,Denmark,65.1498091986075
2018,Malta,100
2018,United States of America,69.4862861150978
2018,India,58.6625789265709
2018,China,67.5077782086145
2019,Malta,100
2019,India,60.6796314775654
2019,China,69.4594281476627
2019,United States of America,73.6412061678603
2019,Denmark,67.0095544073161
